RECORDNO,BATCHKEY,BATCH_DATE,BATCH_TITLE,SYMBOL,BATCH_NO,BOOKID,CHILDENTITY,MODIFIED,REFERENCENO,ADJ,MODULEKEY,OWNERSHIPKEY,LINE_NO,ENTRY_DATE,TR_TYPE,DOCUMENT,ACCOUNTNO,ACCOUNTTITLE,STATISTICAL,DEPARTMENTID,DEPARTMENTTITLE,LOCATIONID,LOCATIONNAME,CURRENCY,BASECURR,DESCRIPTION,DEBITAMOUNT,CREDITAMOUNT,AMOUNT,TRX_DEBITAMOUNT,TRX_CREDITAMOUNT,TRX_AMOUNT,CLEARED,CLRDATE,CUSTENTITY,VENDENTITY,EMPENTITY,LOCENTITY,RECORDTYPE,RECORDID,DOCNUMBER,STATE,WHENCREATED,WHENDUE,WHENPAID,WHENMODIFIED,PRDESCRIPTION,PRCLEARED,PRCLRDATE,FINANCIALENTITY,TOTALENTERED,TOTALPAID,TOTALDUE,ENTRYDESCRIPTION,GLENTRYKEY,CREATEDBY,BATCH_STATE,ENTRY_STATE,AUWHENCREATED,AUCREATEDBY,MODIFIEDBY,PROJECTDIMKEY,PROJECTID,PROJECTNAME,CUSTOMERDIMKEY,CUSTOMERID,CUSTOMERNAME,VENDORDIMKEY,VENDORID,VENDORNAME,EMPLOYEEDIMKEY,EMPLOYEEID,EMPLOYEENAME,ITEMDIMKEY,ITEMID,ITEMNAME,CLASSDIMKEY,CLASSID,CLASSNAME,WAREHOUSEDIMKEY,WAREHOUSEID,WAREHOUSENAME,TASKDIMKEY,TASKID,TASKNAME,RDEPRECIATION_SUMMARY,RGLENTRYDS,RECORDTYPE_ORIG
215051-1269338---accrual,215051,07/01/2024,HVAC Design OBS Journal Posting,OBJ,139,ACCRUAL,0,09/10/2024 16:42:23,0,F,2.GL,23,1,07/01/2024,1,0,11000,Accounts Receivable,F,0,0,L501,HVAC Design,USD,USD,0,479948.02,0,479948.02,479948.02,0,479948.02,F,0,0,0,0,0,0,0,0,0,0,0,0,09/10/2024 16:42:23,0,0,0,0,0,0,0,0,1269338,SherrieB,P,P,09/10/2024 16:40:57,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215051-1269339---accrual,215051,07/01/2024,HVAC Design OBS Journal Posting,OBJ,139,ACCRUAL,0,09/10/2024 16:42:23,0,F,2.GL,23,2,07/01/2024,1,0,11500,Costs in Excess of Billings,F,0,0,L501,HVAC Design,USD,USD,0,107418.25,0,107418.25,107418.25,0,107418.25,F,0,0,0,0,0,0,0,0,0,0,0,0,09/10/2024 16:42:23,0,0,0,0,0,0,0,0,1269339,SherrieB,P,P,09/10/2024 16:40:57,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215051-1269340---accrual,215051,07/01/2024,HVAC Design OBS Journal Posting,OBJ,139,ACCRUAL,0,09/10/2024 16:42:23,0,F,2.GL,23,3,07/01/2024,1,0,13030,Prepaid - Other,F,0,0,L501,HVAC Design,USD,USD,0,373.58,0,373.58,373.58,0,373.58,F,0,0,0,0,0,0,0,0,0,0,0,0,09/10/2024 16:42:23,0,0,0,0,0,0,0,0,1269340,SherrieB,P,P,09/10/2024 16:40:57,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215051-1269341---accrual,215051,07/01/2024,HVAC Design OBS Journal Posting,OBJ,139,ACCRUAL,0,09/10/2024 16:42:23,0,F,2.GL,23,4,07/01/2024,1,0,11200,Accounts Receivable - Retainage,F,0,0,L501,HVAC Design,USD,USD,0,49230.75,0,49230.75,49230.75,0,49230.75,F,0,0,0,0,0,0,0,0,0,0,0,0,09/10/2024 16:42:23,0,0,0,0,0,0,0,0,1269341,SherrieB,P,P,09/10/2024 16:40:57,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215051-1269342---accrual,215051,07/01/2024,HVAC Design OBS Journal Posting,OBJ,139,ACCRUAL,0,09/10/2024 16:42:23,0,F,2.GL,23,5,07/01/2024,1,0,15020,Vehicles,F,0,0,L501,HVAC Design,USD,USD,0,212496,0,212496,212496,0,212496,F,0,0,0,0,0,0,0,0,0,0,0,0,09/10/2024 16:42:23,0,0,0,0,0,0,0,0,1269342,SherrieB,P,P,09/10/2024 16:40:57,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215051-1269343---accrual,215051,07/01/2024,HVAC Design OBS Journal Posting,OBJ,139,ACCRUAL,0,09/10/2024 16:42:23,0,F,2.GL,23,6,07/01/2024,1,0,18010,Goodwill,F,0,0,L501,HVAC Design,USD,USD,0,1147628.05,0,1147628.05,1147628.05,0,1147628.05,F,0,0,0,0,0,0,0,0,0,0,0,0,09/10/2024 16:42:23,0,0,0,0,0,0,0,0,1269343,SherrieB,P,P,09/10/2024 16:40:57,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215051-1269344---accrual,215051,07/01/2024,HVAC Design OBS Journal Posting,OBJ,139,ACCRUAL,0,09/10/2024 16:42:23,0,F,2.GL,23,7,07/01/2024,1,0,11400,Accounts Receivable - Employees Tools,F,0,0,L501,HVAC Design,USD,USD,0,3278.93,0,3278.93,3278.93,0,3278.93,F,0,0,0,0,0,0,0,0,0,0,0,0,09/10/2024 16:42:23,0,0,0,0,0,0,0,0,1269344,SherrieB,P,P,09/10/2024 16:40:57,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215051-1269345---accrual,215051,07/01/2024,HVAC Design OBS Journal Posting,OBJ,139,ACCRUAL,0,09/10/2024 16:42:23,0,F,2.GL,23,8,07/01/2024,1,0,11020,Accounts Receivable Other,F,0,0,L501,HVAC Design,USD,USD,0,163694.42,0,163694.42,163694.42,0,163694.42,F,0,0,0,0,0,0,0,0,0,0,0,0,09/10/2024 16:42:23,0,0,0,0,0,0,0,0,1269345,SherrieB,P,P,09/10/2024 16:40:57,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215051-1269346---accrual,215051,07/01/2024,HVAC Design OBS Journal Posting,OBJ,139,ACCRUAL,0,09/10/2024 16:42:23,0,F,2.GL,23,9,07/01/2024,-1,0,20100,Accrued Payroll,F,0,0,L501,HVAC Design,USD,USD,0,0,12020,-12020,0,12020,-12020,F,0,0,0,0,0,0,0,0,0,0,0,0,09/10/2024 16:42:23,0,0,0,0,0,0,0,0,1269346,SherrieB,P,P,09/10/2024 16:40:57,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215051-1269347---accrual,215051,07/01/2024,HVAC Design OBS Journal Posting,OBJ,139,ACCRUAL,0,09/10/2024 16:42:23,0,F,2.GL,23,10,07/01/2024,-1,0,24020,Deferred Revenue - Maintenance,F,0,0,L501,HVAC Design,USD,USD,0,0,25133,-25133,0,25133,-25133,F,0,0,0,0,0,0,0,0,0,0,0,0,09/10/2024 16:42:23,0,0,0,0,0,0,0,0,1269347,SherrieB,P,P,09/10/2024 16:40:57,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
